Ã‰tat,Capitale,Population
Arizona,1889,1608139
Texas,1839,961855
Ohio,1816,905748
Indiana,1825,887642
Colorado,1867,715522
Tennessee,1826,689447
Oklahoma,1910,681054
Massachusetts,1630,675647
California,1854,524943
Georgia,1868,498715
North Carolina,1792,467665
Hawaii,1845,350964
Minnesota,1849,311527
Nebraska,1867,291082
Wisconsin,1838,269840
Idaho,1865,235684
Louisiana,1880,227470
Virginia,1780,226610
Iowa,1857,214133
Arkansas,1821,202591
Alabama,1846,200603
Utah,1858,199723
Florida,1824,196169
Rhode Island,1900,190934
Oregon,1855,175535
Mississippi,1821,153701
South Carolina,1786,136632
Kansas,1856,126587
Connecticut,1875,121054
Illinois,1837,114394
Michigan,1847,112644
New York,1797,99224
New Jersey,1784,90871
New Mexico,1610,87505
North Dakota,1883,73622
Wyoming,1869,65132
Nevada,1861,58639
Washington,1853,55605
Pennsylvania,1812,50099
West Virginia,1885,48864
New Hampshire,1808,43976
Missouri,1826,43228
Maryland,1694,40812
Delaware,1777,39403
Alaska,1906,32255
Montana,1875,32091
Kentucky,1792,28602
Maine,1832,18899
South Dakota,1889,14091
Vermont,1805,8074
